音訊: d6299435802e4cdc979122f77bb7f7bd.wav
分類: 其他
意圖: 諮詢問題
[04:41] 客戶: 你覺得律師事務所有可能跟他報告嗎?
[04:44] 客服: 那這樣子的話你有暗號嗎?我請他們的主管跟你做回覆。
[04:47] 客戶: 暗號是?
[04:52] 客服: 可以暗號嗎?因為你說有理賠,那有沒有你說醫責險嗎?
[04:54] 客服: 那有沒有他的身分證字號?
[04:59] 客戶: 我只是想要解決事情,我讓我有一點夾在中間,我不知道要怎麼解決。
[05:05] 客服: 請主管回覆,因為客服這邊我們沒有參與理賠過程,所以我們不曉得理賠人員跟你說的這個部分,還有您說的這個部分中間是哪個地方環節有問題?
[05:20] 客戶: 其實我也不是理賠人員,所以我也不懂他們中間你們一一合作,其實我們只是簽醫責險。
[05:31] 客戶: 那他就說那有配合的律師嘛,就是我們醫責險有配合律師,那OK,所以客戶才想說會放心簽嘛,那律師之後我們也付錢了,理賠也付錢了,我們也付錢了。
[05:39] 客戶: 那你們一一合作應該有一點溝通,怎麼會說他事先要來跟我們講?我不是很能理解他的意思。
[05:52] 客服: 所以那個律師是我們公司這邊的還是你們自己找的?我們公司這邊的?
[06:00] 客戶: 公司這邊的,是公司有那個黃什麼珍的,就台北的嘛,就是黃什麼珍的那個律師事務所啊,所以我們才找他,對啊,那現在走的要出的,哎呀,所以覺得我也很,然後產險的態度什麼,講話都那麼的沒禮貌啊。
[06:05] 客服: 我們在幫你跟主管反映,那你這邊有抓到那個統編的嗎?
[06:29] 客服: 我們在幫你跟主管反映,那你這邊有抓到那個統編的嗎?
[06:30] 客服: 剛剛有一個你剛剛講陳兆宏的理賠,然後這是2023年的事故嗎?
[06:59] 客戶: 對
[07:06] 客服: 然後是診所的名稱是?
[07:07] 客戶: 初樂旗幟
[07:11] 客服: 好
[07:12] 客服: 那我查到這個案號,我請他們主管確認一下這個案件的
[07:13] 客戶: 他不是主管嗎?他不是副理嗎?副理不就是主管嗎?
[07:17] 客服: 他是理賠,那他一定還是會有主管的這樣子
[07:21] 未知: 他是理賠,那他一定還是會有主管的這樣子
