音檔: POC_17_20250729 144932_6.保單查詢4.傷害健康保險.wav
[03:58] 客服: 那他現在在走換約的流程
[04:01] 客服: 那他流程還沒走完
[04:03] 客服: 我們這邊客服看不到
[04:07] 客服: 好 我了解了
[04:08] 客服: 再等他一下下
[04:10] 客服: 他完成應該會盡快通知你
[04:13] 客服: 或者是你留意一下
[04:14] 客服: 看有沒有簡訊通知你看
[04:15] 客服: 電子保單之類的
[04:18] 客服: 最常後來是會再寄一個電子保單過來
[04:21] 客服: 一定會通知您
[04:22] 客服: 不然你們不會知道
[04:24] 客服: 但我現在如果假設
[04:25] 客服: 我舊的已經到現
[04:27] 客服: 我新的又還沒洗掉
[04:28] 客服: 那是短期間通商幾次
[04:31] 客服: 等於是沒有保單的保障這樣子嗎
[04:35] 客服: 好像不是這樣解釋
[04:37] 客服: 因為你已經有交給營業員去幫您做
[04:41] 客服: 就是等於他應該是銜接的
[04:43] 客服: 他不會讓你中斷
[04:47] 客戶: 好 因為就是以
[04:48] 客戶: 如果單以電腦系統來看
[04:50] 客戶: 目前他是顯示沒有保單
[04:52] 客戶: 目前就是我才顯示零
[04:54] 客戶: 就剩下受險
[04:55] 客戶: 我懂你說的意思
[04:56] 客戶: 但是我說
[04:57] 客戶: 你沒看到不代表你沒有做
[04:59] 客戶: 我的意思是這樣
[05:00] 客戶: 所以我想要確認一下這樣子
[05:02] 客戶: 確認的話就是要找營業員確認
[05:04] 客服: 因為我們客服沒有辦法確認這件事
[05:06] 客服: 是因為我們是最後端的人
[05:09] 客服: 我們不是前端的人
[05:10] 客服: 所以我們不會有權限看得到
[05:12] 客服: 他現在處理的進度到哪裡
[05:17] 客服: 再麻煩您了
[05:18] 客服: 好 謝謝
[05:19] 客服: 拜拜
