音訊: POC_18_20250814 112112_7.申訴1.車險.wav
[06:07] 客戶: 對啊，妳知道，妳剛剛講的重點，只是通報而已，但是不是申訴他個人。
[06:12] 客戶: 對啊，你們沒有一個申訴。
[06:18] 客服: 不是不是不是，這是一個誤會的意思，就是您針對申訴這個理賠專員的部分，這個事件幫您進行通報，通報申訴理賠專員。
[06:22] 客服: 所以我們080會幫您直接做通知，主管單位會後續跟您做回覆說明這樣子。
[06:24] 客戶: 就是這個，妳剛剛講只是做一個通知說明而已，就是申訴是沒有的。
[06:32] 客戶: 沒有，沒有事項做完。
[06:36] 客服: 是針對申訴這個理賠專員的部分，這個事項進行通報。
[06:40] 客戶: 喔，好，那沒關係，那妳幫我跟他們那個上級主管，那請問會是什麼時候聯絡呢？
[06:42] 客服: 您大概什麼時候方便接聽，我們可以幫您。
[06:47] 客服: 你做主機，那基本上我們都會請人員盡快跟您做回覆。好，今天中午4點4點過後，那我沒問題，我幫你做備註，4點過後跟您做回覆哦，3點3點3點，我先通知這樣子，不好意思哦，謝謝你，不好意思，拜拜，謝謝，拜拜。
[06:53] 未知: 您大概什麼時候方便接聽,我們可以幫您。
[06:55] 未知: 你做主機,那基本上我們都會請人員盡快跟您做回覆。好,今天中午4點4點過後,那我沒問題,我幫你做備註,4點過後跟您做回覆哦,3點3點3點,我先通知這樣子,不好意思哦,謝謝你,不好意思,拜拜,謝謝,拜拜。
